status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,,,8.92,Green Township,New Jersey,7821.0,,,235000.0
for_sale,,,2.08,Blairstown,New Jersey,7825.0,,2021-04-22,80000.0
for_sale,3.0,3.0,0.56,Sparta,New Jersey,7871.0,,1998-01-06,449000.0
for_sale,,,2.12,Blairstown,New Jersey,7825.0,,2021-04-22,99500.0
for_sale,3.0,2.0,0.61,Lords Valley,Pennsylvania,18428.0,2452.0,,349500.0
for_sale,,,0.47,Montague,New Jersey,7827.0,,,14900.0
for_sale,,,0.47,Montague,New Jersey,7827.0,,,14900.0
for_sale,3.0,3.0,1.03,Milford,Pennsylvania,18337.0,2744.0,,404900.0
for_sale,7.0,7.0,6.45,Bethel,New York,12720.0,5648.0,,3500000.0
for_sale,3.0,5.0,2.07,Lords Valley,Pennsylvania,18428.0,4482.0,,595000.0
for_sale,,,90.41,Frankford Township,New Jersey,7826.0,,,950000.0
for_sale,3.0,1.0,,East Stroudsburg,Pennsylvania,18302.0,1143.0,,138000.0
for_sale,3.0,2.0,0.19,Matamoras,Pennsylvania,18336.0,3664.0,,249999.0
for_sale,2.0,1.0,0.17,Smallwood,New York,12778.0,1133.0,,165000.0
for_sale,2.0,1.0,,Byram Township,New Jersey,7821.0,,,259000.0
for_sale,3.0,3.0,1.0,Lords Valley,Pennsylvania,18428.0,3054.0,,285000.0
for_sale,4.0,5.0,2.12,East Stroudsburg,Pennsylvania,18302.0,6170.0,2015-06-24,674900.0
for_sale,2.0,1.0,0.11,Port Jervis,New York,12771.0,980.0,2007-04-04,159000.0
for_sale,6.0,5.0,0.32,Pike County,Pennsylvania,18324.0,4732.0,,329000.0
for_sale,3.0,3.0,0.35,Sparta,New Jersey,7871.0,,2008-06-05,199000.0
for_sale,3.0,1.0,3.19,White Township,New Jersey,7823.0,1388.0,,214900.0
for_sale,2.0,1.0,1.14,Knowlton,New Jersey,7832.0,,2020-03-31,160000.0
for_sale,1.0,1.0,0.04,Hopatcong,New Jersey,7843.0,,2015-08-25,150000.0
for_sale,5.0,2.0,0.08,Port Jervis,New York,12771.0,1696.0,2021-04-20,225000.0
for_sale,3.0,2.0,0.4,Montague,New Jersey,7827.0,,,220000.0
for_sale,4.0,3.0,0.2,Monticello,New York,12701.0,2288.0,2015-11-13,279000.0
for_sale,3.0,1.0,1.61,Stillwater,New Jersey,7860.0,1232.0,1989-06-02,199000.0
for_sale,3.0,2.0,5.41,Branchville,New Jersey,7826.0,,2021-05-04,499950.0
for_sale,3.0,2.0,0.52,Stillwater,New Jersey,7860.0,,2000-02-03,265000.0
for_sale,,,1.0,Milford,Pennsylvania,18337.0,,,28000.0
for_sale,,,6.3,Lafayette,New Jersey,7848.0,,2022-02-03,135000.0
for_sale,2.0,1.0,0.12,Byram Township,New Jersey,7821.0,,,355000.0
for_sale,,,1.26,Hopatcong,New Jersey,7849.0,,2003-09-19,62000.0
for_sale,3.0,2.0,,Mansfield,New Jersey,7863.0,,,154000.0
for_sale,4.0,3.0,0.37,Bushkill,Pennsylvania,18324.0,2218.0,2021-01-05,350000.0
for_sale,3.0,1.0,0.14,Franklin,New Jersey,7416.0,1331.0,2021-10-12,299900.0
for_sale,4.0,2.0,0.19,Allamuchy Township,New Jersey,7840.0,2120.0,,299000.0
for_sale,5.0,2.0,0.47,Bushkill,Pennsylvania,18324.0,1733.0,,240000.0
for_sale,3.0,3.0,,Hamburg,New Jersey,7419.0,,,265000.0
for_sale,3.0,2.0,1.08,Lords Valley,Pennsylvania,18428.0,1439.0,,259000.0
for_sale,,,0.3,Shohola,Pennsylvania,18458.0,,,11250.0
for_sale,,,1.2,Milford,Pennsylvania,18337.0,,2005-04-05,45000.0
for_sale,,,0.77,Dingmans Ferry,Pennsylvania,18328.0,,,69000.0
for_sale,4.0,2.0,0.62,Hopatcong,New Jersey,7843.0,,1998-05-04,420000.0
for_sale,2.0,1.0,0.26,Sparta,New Jersey,7871.0,,,348000.0
for_sale,3.0,1.0,0.29,Green Township,New Jersey,7860.0,,,295000.0
for_sale,3.0,2.0,0.15,Jefferson Township,New Jersey,7849.0,,2005-11-22,639000.0
for_sale,3.0,4.0,12.0,Frankford Township,New Jersey,7826.0,,,779000.0
for_sale,,,1.39,Montague,New Jersey,7827.0,,2005-12-19,89000.0
for_sale,3.0,2.0,0.18,Hopatcong,New Jersey,7843.0,,2020-05-18,340000.0
for_sale,3.0,3.0,8.36,Knowlton,New Jersey,7832.0,3428.0,2010-11-15,689000.0
for_sale,4.0,3.0,2.6,Sparta,New Jersey,7871.0,3000.0,2017-08-21,600000.0
for_sale,8.0,4.0,0.5,Hamburg,New Jersey,7419.0,2688.0,,699000.0
for_sale,3.0,1.0,2.6,Newton,New Jersey,7860.0,1200.0,,189000.0
for_sale,3.0,1.0,1.23,Shohola,Pennsylvania,18458.0,3052.0,,232000.0
for_sale,4.0,1.0,4.53,White Township,New Jersey,7823.0,,2009-08-31,189900.0
for_sale,2.0,2.0,,White Township,New Jersey,7823.0,,,179000.0
for_sale,4.0,3.0,4.9,Sparrow Bush,New York,12780.0,2610.0,2003-01-06,299000.0
for_sale,,,2.48,Frankford Township,New Jersey,7826.0,,,27500.0
for_sale,2.0,1.0,0.11,Matamoras,Pennsylvania,18336.0,2457.0,,184900.0
for_sale,3.0,2.0,0.31,Dingmans Ferry,Pennsylvania,18328.0,1456.0,2005-10-03,235000.0
for_sale,5.0,6.0,4.6,Sparta,New Jersey,7871.0,,2007-01-25,1549000.0
for_sale,4.0,3.0,0.4,Bushkill,Pennsylvania,18324.0,3158.0,2007-05-16,329000.0
for_sale,2.0,1.0,0.12,Vernon,New Jersey,7461.0,,1987-03-18,4000.0
for_sale,2.0,1.0,0.28,East Stroudsburg,Pennsylvania,18302.0,1200.0,1998-08-07,179900.0
for_sale,2.0,2.0,0.05,Independence Township,New Jersey,7840.0,1624.0,2006-06-27,289000.0
for_sale,2.0,2.0,0.06,Independence Township,New Jersey,7840.0,1624.0,2019-06-17,310000.0
for_sale,2.0,1.0,0.67,Huguenot,New York,12746.0,1014.0,,229000.0
for_sale,3.0,2.0,1.04,Milford,Pennsylvania,18337.0,2196.0,2004-08-03,425000.0
for_sale,4.0,2.0,0.71,Dingmans Ferry,Pennsylvania,18328.0,1970.0,2013-11-05,249999.0
for_sale,,,3.02,Knowlton,New Jersey,7832.0,,1989-08-30,79900.0
for_sale,4.0,4.0,2.52,Frankford Township,New Jersey,7822.0,,2017-02-28,824000.0
for_sale,4.0,3.0,0.66,Bushkill,Pennsylvania,18324.0,1628.0,,337000.0
for_sale,3.0,2.0,0.27,Dingmans Ferry,Pennsylvania,18328.0,1550.0,2022-01-06,229900.0
for_sale,3.0,1.0,0.28,Hope,New Jersey,7825.0,,,239900.0
